"V1-30548","pir2-a-0306"
"V1-30968","pir2-c-0855"
"V1-30970","pir2-c-0885"
"V1-33691","pir2-a-1595"
"V1-51925","pir2-f-0374"
"V1-51927","pir2-f-0375"
"V2-54684","pir2-h-0122"
"V2-54685","pir2-h-0121"
"V3a-8473","pir2-i-0174"
"V3a-8961","pir2-c-0818"
"V3a-9366","pir2-i-0290"
"V3a-9919","pir2-i-0301"
"V3a-9920","pir2-i-0302"
"V3a-10721","pir2-i-0372"
"V3a-20873","pir2-c-0873"
"V3a-20874","pir2-c-1004"
"V3a-20876","pir2-c-1005"
"V3a-23938","pir2-g-0132"
"V3a-35193","pir2-i-0430"
"V3b-35798","pir2-f-0330"
"V3b-35799","pir2-f-0331"
"V4-8820","pir2-c-1552"
"V4-8821","pir2-c-1554"
"V4-8822","pir2-c-1555"
"V4-8836","pir2-c-1553"
"V4-10334","pir2-m-0690"
"V4-10518","pir2-m-0692"
"V4-11578","pir2-i-0472"
"V4-12008","pir2-p-1115"
"V4-12099","pir2-r-0058"
"V4-12100","pir2-r-0060"
"V4-12101","pir2-r-0059"
"V4-12150","pir2-r-0067"
"V4-12151","pir2-r-0068"
"V4-12152","pir2-i-0517"
"V4-12207","pir2-r-0203"
"V4-13843","pir2-i-0689"
"V4-15304","pir2-a-0284"
"V4-16240","pir2-a-1197"
"V4-16274","pir2-a-1265"
"V4-17879","pir2-i-0300"
"V4-18874","pir2-i-0360"
"V4-18886","pir2-i-0089"
"V4-19335","pir2-c-1556"
"V4-19336","pir2-i-0276"
"V4-19337","pir2-i-0277"
"V4-19680","pir2-m-0107"
"V4-21422","pir2-r-0061"
"V4-21423","pir2-i-0512"
"V4-21424","pir2-i-0513"
"V4-21425","pir2-i-0514"
"V4-21426","pir2-r-0062"
"V4-21428","pir2-r-0064"
"V4-21451","pir2-i-0516"
"V4-21615","pir2-i-0550"
"V4-21616","pir2-i-0551"
"V4-22152","pir2-i-0602"
"V4-22484","pir2-p-0343"
"V4-25161","pir2-a-0736"
"V5a-1092","pir2-a-0506"
"V5a-4411","pir2-a-1449"
