datasets,http://www.lgpn.ox.ac.uk/id/,http://www.trismegistos.org/person/
people,http://viaf.org/viaf/41988155/,
V1-4511,18063,
V1-53075,18042,
V1-53076,18043,
V1-61186,16551,
V1-61393,9720,
V1-61807,16571,
V1-62825,17972,
V1-62826,18095,
V1-62968,18154,
V1-62981,17883,
V1-62994,18147,
V1-63526,18153,
V1-63536,18084,
V1-63537,18149,
V1-63538,18046,
V1-64095,18150,
V1-64114,18034,
V1-64124,16565,
V1-64126,18051,
V1-64156,35969,
V1-64722,18048,
V1-65005,17881,
V1-65006,18050,
V1-65087,10600,
V1-65278,18148,
V1-65322,18067,
V1-65344,12588,
V1-65451,17985,
V1-65492,17986,
V1-65932,18087,
V1-65941,16615,
V1-66114,18155,
V1-66202,18101,
V1-66204,17987,
V1-66211,16033,
V1-66217,16043,
V1-69814,17989,
V1-71315,18068,
V1-71962,18097,
V1-71963,18096,
V1-74194,18152,
V1-76053,18151,
V2-3193,17789,
V2-15036,17788,
V2-15037,17793,
V2-29911,17791,
V2-49554,17795,
V3a-15105,16431,
V3a-23094,16455,
V3a-23264,18044,
V3a-23671,8935,
V3a-23980,18077,
V3b-12595,2165,
V3b-14164,17871,
V3b-18003,14227,
V3b-30906,18092,
V3b-34134,18070,
V3b-37177,18074,
V4-2547,17984,
V4-2580,5821,
V4-2581,17978,
V4-3744,18061,
V4-3757,348853,
V4-4660,17973,
V4-5477,342314,
V4-5670,7506,
V4-6947,8394,
V4-7867,17867,
V4-8308,16505,
V4-9112,6831,
V4-9732,17869,
V4-11610,17975,
V4-11965,17976,
V4-12527,305361,
V4-12823,342262,
V4-12857,18079,
V4-24327,18948,
V4-24518,263143,
V4-24696,35791,
V4-24763,17856,
V4-24764,18862,
V4-24771,35717,
V4-25355,18843,
V4-25493,18900,
V4-25499,35986,
V4-25967,18852,
V4-26063,18855,
V4-26947,6939,
V4-27282,7242,
V4-28147,242101,
V4-29244,263144,
V4-29270,18947,
V4-29330,8990,
V4-29360,18866,
V4-29672,18842,
V4-29777,18904,
V4-30042,18849,
V4-30054,18850,
V4-30300,18844,
V4-30494,262880,
V4-30732,18902,
V4-30789,317018,
V4-30836,18857,
V4-31781,18688,
V4-31876,18949,
V4-32190,390809,
V4-32865,18859,
V4-32982,347582,
V4-33026,12582,
V4-33310,262881,
V4-33328,12755,
V4-33372,12952,
V4-33373,18899,
V4-33389,18853,
V4-33565,13164,
V4-33931,19444,
V4-34019,13723,
V4-34175,18865,
V4-34529,18863,
V4-34967,14671,
V4-35010,18861,
V4-35011,14697,
V4-35129,18858,
V4-35132,14817,
V5a-6466,18098,
V5a-7828,16508,
V5a-8486,18085,
V5a-13438,16552,
V5a-16016,342263,
V5a-19249,342264,
V5a-23368,7479,
V5a-23371,7480,
