datasets,http://www.lgpn.ox.ac.uk/id/,http://www.trismegistos.org/person/
people,http://viaf.org/viaf/41988155/,
V1-15916,259868,
V1-27171,181491,
V1-32690,225739,
V1-33608,258014,
V1-33609,181492,
V1-33610,181496,
V1-34088,181494,
V1-34459,225738,
V1-34625,181493,
V1-34700,258009,
V1-44103,5752,
V1-60848,265657,
V2-17785,241966,
V4-24517,341623,
V4-25248,18813,
V4-25491,18808,
V4-25492,18815,
V4-25494,35724,
V4-25806,391623,
V4-25858,341624,
V4-25859,16429,
V4-26336,391625,
V4-27287,18814,
V4-27288,18810,
V4-27291,16432,
V4-29363,18812,
V4-30545,9993,
V4-31570,10488,
V4-32753,11573,
V4-33426,12817,
V4-33444,393235,
V4-33445,18809,
V4-33700,13251,
V4-33922,13642,
