datasets,http://www.lgpn.ox.ac.uk/id/,http://www.trismegistos.org/person/
people,http://viaf.org/viaf/41988155/,
V1-62817,733,
V2-34987,2107,
V3a-8606,1048,
V3a-11119,2617,
V3a-37371,836,
V3a-38265,1513,
V3a-38501,1668,
V3b-11699,18413,
V4-7326,8898,
V4-9102,18381,
V4-24334,35711,
V4-24337,128383,
V4-24846,18689,
V4-24918,792,
V4-25382,35721,
V4-25495,5376,
V4-26026,35741,
V4-27289,18832,
V4-27295,1459,
V4-28536,1733,
V4-28673,261391,
V4-31359,18690,
V4-31982,18836,
V4-32863,3125,
V4-33429,18833,
V4-33969,35771,
